"","ca_country","submissions","prop_homogeny"
"1","united states",3605,0.905131761442441
"2","united kingdom",803,0.297633872976339
"3","germany",641,0.252730109204368
"4","canada",176,0.113636363636364
"5","south korea",45,0.111111111111111
"6","south africa",11,0.0909090909090909
"7","france",310,0.0774193548387097
"8","japan",184,0.0760869565217391
"9","australia",101,0.0693069306930693
"10","china",233,0.0643776824034335
"11","switzerland",163,0.0613496932515337
"12","india",59,0.0508474576271186
"13","sweden",70,0.0428571428571429
"14","israel",127,0.0393700787401575
"15","spain",91,0.032967032967033
"16","denmark",32,0.03125
"17","italy",79,0.0253164556962025
"18","belgium",41,0.024390243902439
"19","austria",58,0.0172413793103448
"20","netherlands",100,0.01
